FIDE ID,White Total,White Win,White Draw,White Loss,Black Total,Black Win,Black Draw,Black Loss
26017962,801,489,198,114,763,419,198,146
662569,793,487,176,130,766,427,167,172
659479,361,190,44,127,361,160,53,148
1303902,84,17,45,22,75,25,22,28
1307916,20,4,8,8,17,4,7,6
1320815,102,40,26,36,99,35,30,34
1330403,67,16,19,32,66,28,19,19
1301829,186,71,60,55,188,47,73,68
1321307,103,62,9,32,95,51,6,38
1304933,26,9,4,13,27,3,11,13
1321641,100,40,28,32,90,33,20,37
1318853,67,18,20,29,55,16,12,27
1326155,51,20,11,20,51,18,9,24
1304461,37,9,7,21,39,4,11,24
1306162,134,43,22,69,144,64,23,57
1317652,42,12,9,21,46,16,6,24
1338447,110,43,20,47,107,31,26,50
1317636,43,17,7,19,46,12,7,27
1316770,75,28,16,31,87,24,21,42
1335480,18,6,0,12,22,7,2,13
1360841,15,3,1,11,23,6,3,14
1351567,94,42,8,44,100,49,16,35
1335430,24,12,3,9,22,12,5,5
1369318,2,0,2,0,4,1,2,1
1367110,13,7,1,5,8,1,1,6
1374877,4,0,0,4,3,2,1,0
1378015,5,2,0,3,4,1,0,3
1377418,10,2,0,8,12,3,0,9
1356771,14,4,2,8,18,3,1,14
1369288,5,4,0,1,6,1,0,5
1375032,8,3,0,5,9,6,0,3
